,player_id,player_name,country_id,player_grade,dob
0,1,Eoin,1,A,2002-09-11
1,2,Stokes,1,A,1993-12-05
2,3,Buttler,1,A,2001-02-19
3,4,Cook,1,B,1992-06-09
4,5,Birstow,1,B,2002-03-18
5,6,Moeen,1,B,2000-01-21
6,7,Jason,1,C,2000-02-19
7,8,Wood,1,C,1990-03-02
8,9,Archer,1,C,1991-05-28
9,10,Adhil,1,C,1999-05-07
10,11,Root,1,C,1993-08-27
11,12,Warner,2,C,2001-04-05
12,13,Green,2,A,1998-08-27
13,14,Smith,2,A,1992-08-21
14,15,Maxwell,2,A,1991-05-12
15,16,Stoinis,2,B,2000-08-15
16,17,Inglish,2,B,2002-02-09
17,18,Carey,2,B,1994-10-11
18,19,Cummins,2,C,1998-08-28
19,20,Zamba,2,C,2001-01-20
20,21,Warne,2,C,2000-09-06
21,22,Clarke,2,C,1995-06-17
22,23,Kusal,3,C,1998-03-04
23,24,Pathum,3,C,1995-09-05
24,25,Mendis,3,A,1996-10-03
25,26,Mathews,3,A,1994-09-06
26,27,Silva,3,A,1997-12-16
27,28,Chamika,3,B,1995-10-10
28,29,Theekshana,3,B,2000-05-19
29,30,Hasaranga,3,B,1996-01-03
30,31,Chameera,3,C,1991-02-26
31,32,Madushanka,3,C,2001-04-12
32,33,Sanath,3,C,2001-04-08
33,34,Rohit,4,C,1995-02-06
34,35,Gill,4,C,1999-06-27
35,36,Kohli,4,C,1992-11-10
36,37,Rahul,4,A,1997-08-03
37,38,Pandya,4,A,1999-05-28
38,39,Shreyas,4,A,2001-07-25
39,40,Jadeja,4,B,1999-06-02
40,41,Bumrah,4,B,1992-07-05
41,42,Shami,4,B,2001-12-06
42,43,Siraj,4,C,1995-01-21
43,44,Kuldeep,4,C,1998-10-01
